event_time,coef,se,ci_lo,ci_hi,policy,nobs,ban_type
-10,0.0,0.0,0.0,0.0,policy_cowslaughterban_year,1408,cow
-9,0.9589197878714382,0.6228382315442061,-0.26184314595520575,2.1796827216980823,policy_cowslaughterban_year,1408,cow
-8,0.7365996798488905,0.629862881970075,-0.49793156881245637,1.9711309285102374,policy_cowslaughterban_year,1408,cow
-7,-0.7380078034042519,1.300114369169753,-3.2862319669769677,1.8102163601684638,policy_cowslaughterban_year,1408,cow
-6,-0.7178456420944983,1.3081223617225213,-3.2817654710706403,1.8460741868816435,policy_cowslaughterban_year,1408,cow
-5,-0.8623467244784686,1.270567977165871,-3.352659959723576,1.6279665107666388,policy_cowslaughterban_year,1408,cow
-4,-0.48678319367849054,1.2432342926017799,-2.923522407177979,1.949956019820998,policy_cowslaughterban_year,1408,cow
-3,0.6826441898859318,1.311025337954619,-1.8869654725051217,3.252253852276985,policy_cowslaughterban_year,1408,cow
-2,0.2590212091898761,1.5607117732201952,-2.7999738663217064,3.318016284701459,policy_cowslaughterban_year,1408,cow
-1,-0.27661704268148446,1.2277910591453143,-2.6830875186063006,2.1298534332433317,policy_cowslaughterban_year,1408,cow
0,0.16002961006693517,1.49057320744811,-2.76149387653136,3.081553096665231,policy_cowslaughterban_year,1408,cow
1,-0.1803423874283968,1.6206935376884728,-3.3569017212978034,2.9962169464410096,policy_cowslaughterban_year,1408,cow
2,-0.4209583302743216,1.5558348460729272,-3.4703946285772593,2.6284779680286157,policy_cowslaughterban_year,1408,cow
3,0.31550321804136594,1.4076878449741994,-2.4435649581080647,3.0745713941907966,policy_cowslaughterban_year,1408,cow
4,0.4815520153026831,1.5767196879128778,-2.608818573006557,3.571922603611924,policy_cowslaughterban_year,1408,cow
5,0.42912989584044847,1.664563674026755,-2.8334149052519915,3.6916746969328886,policy_cowslaughterban_year,1408,cow
6,0.025408391795098795,1.5293870621107841,-2.972190249942038,3.0230070335322354,policy_cowslaughterban_year,1408,cow
7,0.16011172008768004,1.5543071891059315,-2.8863303705599455,3.206553810735306,policy_cowslaughterban_year,1408,cow
8,0.4745152790546108,1.6434476484481024,-2.74664211190367,3.6956726700128915,policy_cowslaughterban_year,1408,cow
